gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,olid
1,1,SF,ATL,KOFF,0,6,1,15,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,SF,ATL,RUSH,1,35,1,15,0,0,0,3,3,1,10,26,2,0,0,0,0,1,0,0,0,0,0,0,1
1,3,SF,ATL,PASS,2,30,1,15,0,0,0,3,3,2,9,27,2,1,0,0,0,1,0,0,0,0,0,0,1
1,4,SF,ATL,RUSH,3,35,1,15,0,0,0,3,3,1,10,37,2,0,0,0,0,1,0,0,0,0,0,0,1
1,5,SF,ATL,PASS,4,30,1,15,0,0,0,3,3,2,6,41,3,1,0,0,0,1,0,0,0,0,0,0,1
1,6,SF,ATL,RUSH,5,35,1,15,0,0,0,3,3,1,10,60,4,1,0,0,0,0,0,0,0,1,0,0,1
1,7,SF,ATL,PASS,6,30,1,11,55,0,0,3,2,1,10,70,4,1,0,0,0,1,0,0,0,0,0,0,1
1,8,SF,ATL,RUSH,7,35,1,11,55,0,0,3,2,1,6,94,5,0,0,0,0,1,0,0,0,0,0,0,1
1,9,SF,ATL,PASS,8,30,1,11,55,0,0,3,2,2,4,96,5,1,0,0,7,0,0,0,0,0,0,0,1
1,10,SF,ATL,FGXP,8,3,1,10,25,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,ATL,SF,KOFF,0,6,1,10,25,0,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,ATL,SF,RUSH,1,35,1,10,25,0,7,2,3,1,10,55,3,0,0,0,0,1,0,0,0,0,0,0,2
1,13,ATL,SF,RUSH,2,35,1,10,25,0,7,2,3,2,4,61,4,1,0,0,0,0,0,0,0,1,0,0,2
1,14,ATL,SF,RUSH,3,35,1,10,25,0,7,2,3,1,10,72,4,0,0,0,0,1,0,0,0,0,0,0,2
1,15,ATL,SF,PASS,4,10,1,10,25,0,7,2,3,2,7,75,4,0,0,0,0,0,0,0,0,0,0,0,2
1,16,ATL,SF,PASS,5,10,1,10,25,0,7,2,3,3,7,75,4,0,0,0,0,0,0,0,0,0,0,0,2
1,17,ATL,SF,FGXP,6,3,1,10,25,0,7,2,3,4,7,75,4,0,0,0,3,0,0,0,0,0,0,0,0
1,18,SF,ATL,KOFF,0,6,1,8,0,7,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,SF,ATL,RUSH,1,35,1,8,0,7,3,3,2,1,10,16,1,0,0,0,0,1,0,0,0,0,0,0,1
1,20,SF,ATL,PASS,2,10,1,8,0,7,3,3,2,2,9,17,1,0,0,0,0,0,0,0,0,0,0,0,1
1,21,SF,ATL,PASS,3,30,1,8,0,7,3,3,2,3,9,17,1,0,1,0,0,1,0,0,0,0,0,0,1
1,22,ATL,SF,PUNT,0,10,1,8,0,3,7,2,3,4,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0
1,23,ATL,SF,RUSH,1,35,1,6,20,3,7,2,3,1,10,36,2,0,0,0,0,1,0,0,0,0,0,0,2
1,24,ATL,SF,PASS,2,10,1,6,20,3,7,2,3,2,12,34,2,0,0,0,0,0,0,0,0,0,0,0,2
1,25,ATL,SF,PASS,3,30,1,6,20,3,7,2,3,3,12,34,2,1,0,0,0,0,0,0,0,0,0,0,2
1,26,ATL,SF,PASS,4,10,1,6,20,3,7,2,3,1,10,51,3,0,0,0,0,0,0,0,0,0,0,0,2
1,27,ATL,SF,NOPL,4,15,1,6,20,3,7,2,3,2,10,51,3,0,0,0,0,0,0,1,0,0,0,0,2
1,28,ATL,SF,PASS,5,30,1,6,20,3,7,2,3,1,10,56,3,0,0,0,0,1,0,0,0,0,0,0,2
1,29,ATL,SF,PASS,6,30,1,6,20,3,7,2,3,2,14,52,3,1,0,0,0,1,0,0,0,0,0,0,2
1,30,ATL,SF,RUSH,7,35,1,6,20,3,7,2,3,1,10,72,4,0,0,0,0,1,0,0,0,0,0,0,2
1,31,ATL,SF,PASS,8,10,1,6,20,3,7,2,3,2,9,73,4,0,0,0,0,0,0,0,0,0,0,0,2
1,32,ATL,SF,NOPL,8,15,1,6,20,3,7,2,3,3,9,73,4,0,0,0,0,0,0,1,0,0,0,0,2
1,33,ATL,SF,RUSH,9,35,1,6,20,3,7,2,3,3,14,68,4,0,0,0,0,1,0,0,0,0,0,0,2
1,34,ATL,SF,FGXP,10,3,1,6,20,3,7,2,3,4,9,73,4,0,0,0,3,0,0,0,0,0,0,0,0
1,35,SF,ATL,KOFF,0,6,1,1,47,7,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,SF,ATL,PASS,1,30,1,1,47,7,6,3,2,1,10,20,1,0,0,0,0,0,0,0,0,1,0,0,1
1,37,SF,ATL,RUSH,2,35,1,1,47,7,6,3,2,2,9,21,2,0,0,0,0,1,0,0,0,0,0,0,1
1,38,SF,ATL,PASS,3,10,1,1,47,7,6,3,2,3,4,26,2,0,0,0,0,0,0,0,0,0,0,0,1
1,39,ATL,SF,PUNT,0,10,1,1,47,6,7,2,3,4,4,26,2,0,0,0,0,0,0,0,0,0,0,0,0
1,40,ATL,SF,PASS,1,30,1,0,11,6,7,2,3,1,10,41,3,1,0,0,0,1,0,0,0,0,0,0,2
1,41,ATL,SF,RUSH,2,35,2,15,0,6,7,2,3,1,10,63,4,0,0,0,0,1,0,0,0,0,0,0,2
1,42,ATL,SF,RUSH,3,35,2,15,0,6,7,2,3,2,4,69,4,1,0,0,0,1,0,0,0,0,0,0,2
1,43,ATL,SF,PASS,4,30,2,15,0,6,7,2,3,1,10,75,4,0,0,0,0,1,0,0,0,0,0,0,2
1,44,ATL,SF,RUSH,5,35,2,15,0,6,7,2,3,2,3,82,5,0,0,0,0,1,0,0,0,0,0,0,2
1,45,ATL,SF,NOPL,5,15,2,15,0,6,7,2,3,3,4,81,5,1,0,0,0,0,0,1,0,0,0,0,2
1,46,ATL,SF,PASS,6,10,2,15,0,6,7,2,3,1,10,86,5,0,0,0,0,0,0,0,0,0,0,0,2
1,47,ATL,SF,PASS,7,10,2,15,0,6,7,2,3,2,10,86,5,0,0,0,0,0,0,0,0,0,0,0,2
1,48,ATL,SF,NOPL,7,15,2,11,39,6,7,2,2,3,10,86,5,0,0,0,0,0,0,1,0,0,0,0,2
1,49,ATL,SF,RUSH,8,35,2,11,39,6,7,2,2,1,9,91,5,0,0,0,0,1,0,0,0,0,0,0,2
